episode,reward,rail length
0,-338.26032900059295,4
1,-311.76032900059295,4
2,-314.76032900059295,4
3,-330.76032900059295,4
4,-322.26032900059295,4
5,-323.26032900059295,4
6,-321.76032900059295,4
7,-453.8226537463707,2
8,-305.26032900059295,4
9,-378.5815238949143,3
10,-338.26032900059295,4
11,-336.76032900059295,4
12,-154.31508458632646,7
13,-324.76032900059295,4
14,-311.76032900059295,4
15,-325.26032900059295,4
16,-329.26032900059295,4
17,-330.76032900059295,4
18,-326.76032900059295,4
19,-330.26032900059295,4
20,-336.26032900059295,4
21,-318.76032900059295,4
22,-321.26032900059295,4
23,-323.76032900059295,4
24,-323.76032900059295,4
25,179.05494350754088,13
26,-321.26032900059295,4
27,-323.76032900059295,4
28,-313.26032900059295,4
29,-333.26032900059295,4
30,-320.26032900059295,4
31,-329.76032900059295,4
32,-328.76032900059295,4
33,-386.0815238949143,3
34,51.03988836557755,11
35,-325.26032900059295,4
36,-384.5815238949143,3
37,-331.76032900059295,4
38,-284.34526422799524,5
39,-374.0815238949143,3
40,-449.8226537463707,2
41,-332.26032900059295,4
42,-325.76032900059295,4
43,-234.6306403446053,6
44,-312.76032900059295,4
45,-309.76032900059295,4
46,-90.04223466203337,8
47,-309.76032900059295,4
48,-317.26032900059295,4
49,-294.34526422799524,5
50,-383.0815238949143,3
51,-321.26032900059295,4
52,-327.76032900059295,4
53,-324.26032900059295,4
54,-330.26032900059295,4
55,-264.34526422799524,5
56,-309.26032900059295,4
57,-206.6306403446053,6
58,-329.76032900059295,4
59,-313.26032900059295,4
60,-168.31508458632646,7
61,-329.76032900059295,4
62,-291.34526422799524,5
63,-334.26032900059295,4
64,-323.26032900059295,4
65,-331.26032900059295,4
66,-327.76032900059295,4
67,-321.76032900059295,4
68,-305.76032900059295,4
69,59.03988836557755,11
70,-310.76032900059295,4
71,-312.76032900059295,4
72,-229.1306403446053,6
73,-51.92107717301701,9
74,-332.26032900059295,4
75,-169.31508458632646,7
76,-374.5815238949143,3
77,-330.26032900059295,4
78,-327.76032900059295,4
79,205.90381802222748,14
80,-269.84526422799524,5
81,-314.26032900059295,4
82,-388.0815238949143,3
83,-275.34526422799524,5
84,-310.26032900059295,4
85,33.03988836557755,11
86,-318.26032900059295,4
87,-189.1306403446053,6
88,-331.76032900059295,4
89,-365.5815238949143,3
