episode,reward,rail length
0,-225.31508458632646,7
1,-360.76032900059295,4
2,-332.34526422799524,5
3,-374.26032900059295,4
4,-374.76032900059295,4
5,-386.76032900059295,4
6,-338.34526422799524,5
7,-331.34526422799524,5
8,-371.26032900059295,4
9,-161.54223466203337,8
10,-290.1306403446053,6
11,-376.26032900059295,4
12,-382.76032900059295,4
13,7.0398883655775535,11
14,-373.76032900059295,4
15,-235.31508458632646,7
16,-375.76032900059295,4
17,-273.1306403446053,6
18,-375.26032900059295,4
19,-273.1306403446053,6
20,-362.26032900059295,4
21,-363.76032900059295,4
22,-371.76032900059295,4
23,-367.26032900059295,4
24,-377.26032900059295,4
25,-371.26032900059295,4
26,-365.76032900059295,4
27,-379.26032900059295,4
28,-361.76032900059295,4
29,-369.76032900059295,4
30,-364.76032900059295,4
31,-356.76032900059295,4
32,-312.34526422799524,5
33,-371.26032900059295,4
34,-374.26032900059295,4
35,-367.76032900059295,4
36,-324.84526422799524,5
37,-329.84526422799524,5
38,-378.26032900059295,4
39,-434.0815238949143,3
40,-370.76032900059295,4
41,-368.76032900059295,4
42,-277.1306403446053,6
43,-225.31508458632646,7
44,-377.76032900059295,4
45,-336.84526422799524,5
46,-376.76032900059295,4
47,-330.84526422799524,5
48,-128.421077173017,9
49,-321.84526422799524,5
50,-381.26032900059295,4
51,120.55494350754088,13
52,-375.26032900059295,4
53,-383.26032900059295,4
54,-371.26032900059295,4
55,-377.26032900059295,4
56,-383.26032900059295,4
57,-383.76032900059295,4
58,-379.26032900059295,4
59,-376.26032900059295,4
60,-376.76032900059295,4
61,-373.26032900059295,4
62,-365.26032900059295,4
63,-376.76032900059295,4
64,-376.26032900059295,4
65,-378.26032900059295,4
66,-381.26032900059295,4
67,-375.76032900059295,4
68,-62.037294102916235,10
69,-277.1306403446053,6
70,-367.76032900059295,4
71,-248.81508458632646,7
72,-386.76032900059295,4
73,-324.84526422799524,5
74,-329.34526422799524,5
75,-438.0815238949143,3
76,-365.26032900059295,4
77,-64.53729410291623,10
78,44.753312392089356,12
79,-382.26032900059295,4
80,-285.1306403446053,6
81,-334.34526422799524,5
82,-326.84526422799524,5
83,-264.1306403446053,6
84,-166.54223466203337,8
85,-339.34526422799524,5
86,-374.76032900059295,4
87,-189.54223466203337,8
88,-181.04223466203337,8
89,-275.6306403446053,6
90,-376.26032900059295,4
91,-379.26032900059295,4
92,-432.5815238949143,3
93,-379.76032900059295,4
94,-373.76032900059295,4
95,-395.76032900059295,4
96,-378.76032900059295,4
97,-386.76032900059295,4
98,-380.76032900059295,4
99,-328.84526422799524,5
100,-383.76032900059295,4
101,-72.03729410291623,10
102,-284.1306403446053,6
103,-370.76032900059295,4
104,-379.26032900059295,4
105,-379.26032900059295,4
106,-383.26032900059295,4
107,-369.76032900059295,4
108,-168.04223466203337,8
109,-419.0815238949143,3
110,-370.76032900059295,4
111,-378.76032900059295,4
112,-378.26032900059295,4
113,-379.76032900059295,4
114,-378.26032900059295,4
115,-380.76032900059295,4
116,-372.76032900059295,4
117,-367.26032900059295,4
118,164.40381802222748,14
119,-108.92107717301701,9
120,-379.76032900059295,4
121,-119.42107717301701,9
122,-371.76032900059295,4
123,-165.54223466203337,8
124,-184.04223466203337,8
125,-0.4601116344224465,11
126,-420.0815238949143,3
127,-380.76032900059295,4
128,-409.5815238949143,3
129,-337.34526422799524,5
130,-284.6306403446053,6
131,-324.84526422799524,5
132,-389.26032900059295,4
133,-373.76032900059295,4
134,-368.26032900059295,4
135,-182.54223466203337,8
136,-332.34526422799524,5
137,-378.26032900059295,4
138,-378.26032900059295,4
139,-329.84526422799524,5
140,-292.1306403446053,6
141,-367.26032900059295,4
142,-326.34526422799524,5
143,-479.3226537463707,2
144,-377.26032900059295,4
145,-319.34526422799524,5
146,-284.1306403446053,6
147,-277.6306403446053,6
148,-276.1306403446053,6
149,-341.34526422799524,5
150,-380.76032900059295,4
151,-325.34526422799524,5
152,-382.76032900059295,4
153,-380.26032900059295,4
