episode,reward,rail length
0,-359.76032900059295,4
1,-347.26032900059295,4
2,-349.76032900059295,4
3,-359.76032900059295,4
4,-354.76032900059295,4
5,-347.26032900059295,4
6,-347.26032900059295,4
7,-462.3226537463707,2
8,-339.76032900059295,4
9,-394.5815238949143,3
10,-354.76032900059295,4
11,-362.26032900059295,4
12,-186.81508458632646,7
13,-349.76032900059295,4
14,-339.76032900059295,4
15,-357.26032900059295,4
16,-347.26032900059295,4
17,-352.26032900059295,4
18,-347.26032900059295,4
19,-344.76032900059295,4
20,-347.26032900059295,4
21,-332.26032900059295,4
22,-347.26032900059295,4
23,-342.26032900059295,4
24,-347.26032900059295,4
25,110.55494350754088,13
26,-352.26032900059295,4
27,-342.26032900059295,4
28,-337.26032900059295,4
29,-347.26032900059295,4
30,-334.76032900059295,4
31,-344.76032900059295,4
32,-344.76032900059295,4
33,-399.5815238949143,3
34,12.039888365577553,11
35,-344.76032900059295,4
36,-397.0815238949143,3
37,-352.26032900059295,4
38,-300.84526422799524,5
39,-387.0815238949143,3
40,-462.3226537463707,2
41,-342.26032900059295,4
42,-342.26032900059295,4
43,-253.1306403446053,6
44,-329.76032900059295,4
45,-334.76032900059295,4
46,-124.54223466203337,8
47,-332.26032900059295,4
48,-337.26032900059295,4
49,-310.84526422799524,5
50,-404.5815238949143,3
51,-347.26032900059295,4
52,-342.26032900059295,4
53,-179.31508458632646,7
54,-327.26032900059295,4
55,-329.76032900059295,4
56,-134.54223466203337,8
57,-452.3226537463707,2
58,-339.76032900059295,4
59,-347.26032900059295,4
60,-201.81508458632646,7
61,-293.34526422799524,5
62,-344.76032900059295,4
63,-327.26032900059295,4
64,-339.76032900059295,4
65,-342.26032900059295,4
66,-342.26032900059295,4
67,-334.76032900059295,4
68,-339.76032900059295,4
69,-332.26032900059295,4
70,-245.6306403446053,6
71,-283.34526422799524,5
72,-295.84526422799524,5
73,-327.26032900059295,4
74,-329.76032900059295,4
75,-295.84526422799524,5
76,-280.84526422799524,5
77,-327.26032900059295,4
78,-40.037294102916235,10
79,-399.5815238949143,3
80,-389.5815238949143,3
81,-324.76032900059295,4
82,-332.26032900059295,4
83,-337.26032900059295,4
84,-317.26032900059295,4
85,-339.76032900059295,4
86,-194.31508458632646,7
87,-332.26032900059295,4
88,-357.26032900059295,4
89,-342.26032900059295,4
90,-30.037294102916235,10
91,-347.26032900059295,4
92,-225.6306403446053,6
93,-322.26032900059295,4
94,-283.34526422799524,5
95,-233.1306403446053,6
96,-332.26032900059295,4
97,-332.26032900059295,4
98,-295.84526422799524,5
99,-332.26032900059295,4
100,-334.76032900059295,4
101,-382.0815238949143,3
102,-399.5815238949143,3
103,-91.42107717301701,9
104,-181.81508458632646,7
105,-329.76032900059295,4
106,-332.26032900059295,4
107,-322.26032900059295,4
108,-349.76032900059295,4
109,-139.54223466203337,8
110,-327.26032900059295,4
111,-184.31508458632646,7
112,-317.26032900059295,4
113,-329.76032900059295,4
114,-220.6306403446053,6
115,-332.26032900059295,4
116,-344.76032900059295,4
117,-228.1306403446053,6
118,-332.26032900059295,4
119,-243.1306403446053,6
120,-270.84526422799524,5
121,-285.84526422799524,5
122,-327.26032900059295,4
123,-144.54223466203337,8
124,-342.26032900059295,4
125,-334.76032900059295,4
126,-184.31508458632646,7
127,-402.0815238949143,3
128,-223.1306403446053,6
129,-322.26032900059295,4
130,-324.76032900059295,4
131,-293.34526422799524,5
132,-329.76032900059295,4
133,-174.31508458632646,7
134,-134.54223466203337,8
135,-337.26032900059295,4
136,-339.76032900059295,4
137,-235.6306403446053,6
138,-392.0815238949143,3
139,-285.84526422799524,5
140,-181.81508458632646,7
141,-332.26032900059295,4
142,-250.6306403446053,6
143,-114.54223466203337,8
144,-329.76032900059295,4
145,-293.34526422799524,5
146,-293.34526422799524,5
147,-344.76032900059295,4
148,-347.26032900059295,4
149,-184.31508458632646,7
150,-322.26032900059295,4
151,-319.76032900059295,4
152,-392.0815238949143,3
153,-327.26032900059295,4
154,-37.537294102916235,10
155,-392.0815238949143,3
156,-270.84526422799524,5
157,-329.76032900059295,4
158,-245.6306403446053,6
159,-327.26032900059295,4
160,-270.84526422799524,5
161,-339.76032900059295,4
162,-176.81508458632646,7
163,-134.54223466203337,8
164,-317.26032900059295,4
165,-387.0815238949143,3
166,-142.04223466203337,8
167,-308.34526422799524,5
168,-238.1306403446053,6
169,-194.31508458632646,7
170,-339.76032900059295,4
171,-327.26032900059295,4
172,-293.34526422799524,5
173,-344.76032900059295,4
174,-334.76032900059295,4
175,-194.31508458632646,7
176,-298.34526422799524,5
177,-387.0815238949143,3
178,-334.76032900059295,4
179,-93.92107717301701,9
180,-324.76032900059295,4
181,-384.5815238949143,3
182,-327.26032900059295,4
183,-332.26032900059295,4
184,-337.26032900059295,4
185,-199.31508458632646,7
186,-342.26032900059295,4
187,-327.26032900059295,4
188,-332.26032900059295,4
189,-290.84526422799524,5
190,-329.76032900059295,4
191,-196.81508458632646,7
192,-206.81508458632646,7
193,62.253312392089356,12
194,-337.26032900059295,4
195,-319.76032900059295,4
196,-332.26032900059295,4
197,-327.26032900059295,4
198,-332.26032900059295,4
199,-342.26032900059295,4
200,-20.037294102916235,10
201,-344.76032900059295,4
202,-223.1306403446053,6
203,-384.5815238949143,3
204,-317.26032900059295,4
205,-327.26032900059295,4
206,-337.26032900059295,4
207,-319.76032900059295,4
208,-337.26032900059295,4
209,-332.26032900059295,4
210,-235.6306403446053,6
211,-73.92107717301701,9
212,-280.84526422799524,5
213,-327.26032900059295,4
214,-275.84526422799524,5
215,-327.26032900059295,4
216,-329.76032900059295,4
217,-324.76032900059295,4
218,-319.76032900059295,4
219,-88.92107717301701,9
220,-329.76032900059295,4
221,-245.6306403446053,6
222,-322.26032900059295,4
223,-215.6306403446053,6
224,-439.8226537463707,2
225,-327.26032900059295,4
226,-285.84526422799524,5
227,-347.26032900059295,4
228,-324.76032900059295,4
229,-116.42107717301701,9
230,-144.54223466203337,8
231,-327.26032900059295,4
232,-290.84526422799524,5
233,115.55494350754088,13
234,-319.76032900059295,4
235,-181.81508458632646,7
236,-344.76032900059295,4
237,-317.26032900059295,4
238,-342.26032900059295,4
239,-322.26032900059295,4
240,-347.26032900059295,4
241,-329.76032900059295,4
242,-317.26032900059295,4
243,-397.0815238949143,3
244,-332.26032900059295,4
245,-295.84526422799524,5
246,-228.1306403446053,6
247,-322.26032900059295,4
248,-278.34526422799524,5
249,-339.76032900059295,4
250,-337.26032900059295,4
251,-332.26032900059295,4
252,-240.6306403446053,6
253,-278.34526422799524,5
254,-382.0815238949143,3
255,-290.84526422799524,5
256,-337.26032900059295,4
257,-334.76032900059295,4
258,-169.31508458632646,7
259,-342.26032900059295,4
260,-324.76032900059295,4
261,-337.26032900059295,4
262,-329.76032900059295,4
263,-327.26032900059295,4
264,-337.26032900059295,4
265,-329.76032900059295,4
266,-337.26032900059295,4
267,-288.34526422799524,5
268,-342.26032900059295,4
269,-76.42107717301701,9
270,-344.76032900059295,4
271,-329.76032900059295,4
272,-339.76032900059295,4
273,-329.76032900059295,4
274,-298.34526422799524,5
275,-293.34526422799524,5
276,-233.1306403446053,6
277,-337.26032900059295,4
278,-327.26032900059295,4
279,-317.26032900059295,4
280,-339.76032900059295,4
281,-334.76032900059295,4
282,-329.76032900059295,4
283,-300.84526422799524,5
284,-322.26032900059295,4
285,-293.34526422799524,5
286,-337.26032900059295,4
287,-285.84526422799524,5
288,-334.76032900059295,4
289,-337.26032900059295,4
290,-332.26032900059295,4
291,-339.76032900059295,4
292,-317.26032900059295,4
293,-342.26032900059295,4
294,-243.1306403446053,6
295,-342.26032900059295,4
296,-332.26032900059295,4
297,-288.34526422799524,5
298,-288.34526422799524,5
299,-332.26032900059295,4
300,-109.54223466203337,8
301,-235.6306403446053,6
302,-337.26032900059295,4
303,-334.76032900059295,4
