episode,reward,rail length
0,-339.76032900059295,4
1,-314.76032900059295,4
2,-319.76032900059295,4
3,-307.26032900059295,4
4,-329.76032900059295,4
5,-314.76032900059295,4
6,-314.76032900059295,4
7,-447.3226537463707,2
8,-299.76032900059295,4
9,-359.5815238949143,3
10,-329.76032900059295,4
11,-322.26032900059295,4
12,-84.31508458632646,7
13,-319.76032900059295,4
14,-299.76032900059295,4
15,-334.76032900059295,4
16,-314.76032900059295,4
17,-324.76032900059295,4
18,-314.76032900059295,4
19,-309.76032900059295,4
20,-314.76032900059295,4
21,-284.76032900059295,4
22,-314.76032900059295,4
23,-304.76032900059295,4
24,-314.76032900059295,4
25,245.55494350754088,13
26,-324.76032900059295,4
27,-304.76032900059295,4
28,-297.26032900059295,4
29,-292.26032900059295,4
30,-289.76032900059295,4
31,-309.76032900059295,4
32,-309.76032900059295,4
33,-369.5815238949143,3
34,-39.542234662033366,8
35,-110.6306403446053,6
36,-309.76032900059295,4
37,-302.26032900059295,4
38,-263.34526422799524,5
39,-344.5815238949143,3
40,-424.8226537463707,2
41,-183.1306403446053,6
42,-314.76032900059295,4
43,-292.26032900059295,4
44,-279.76032900059295,4
45,-289.76032900059295,4
46,-17.042234662033366,8
47,-294.76032900059295,4
48,-294.76032900059295,4
49,-248.34526422799524,5
50,-329.76032900059295,4
51,-210.84526422799524,5
52,-238.34526422799524,5
53,-289.76032900059295,4
54,-274.76032900059295,4
55,-284.76032900059295,4
56,27.957765337966634,8
57,-427.3226537463707,2
58,-289.76032900059295,4
59,-287.26032900059295,4
60,-168.1306403446053,6
61,-302.26032900059295,4
62,-284.76032900059295,4
63,-289.76032900059295,4
64,-299.76032900059295,4
65,-334.76032900059295,4
66,-319.76032900059295,4
67,-289.76032900059295,4
68,-279.76032900059295,4
69,152.03988836557755,11
70,-243.34526422799524,5
71,-264.76032900059295,4
72,-294.76032900059295,4
73,-292.26032900059295,4
74,-279.76032900059295,4
75,-135.6306403446053,6
76,-289.76032900059295,4
77,-254.76032900059295,4
78,-262.26032900059295,4
79,-309.76032900059295,4
80,-228.34526422799524,5
81,-304.76032900059295,4
82,-312.0815238949143,3
83,-292.26032900059295,4
84,-274.76032900059295,4
85,-135.6306403446053,6
86,-99.31508458632646,7
87,-289.76032900059295,4
88,-272.26032900059295,4
89,-277.26032900059295,4
90,102.46270589708377,10
91,-220.6306403446053,6
92,-202.26032900059295,4
93,-264.76032900059295,4
94,-220.84526422799524,5
95,179.53988836557755,11
96,-294.76032900059295,4
97,-64.54223466203337,8
98,-143.1306403446053,6
99,-249.76032900059295,4
100,-188.34526422799524,5
101,-304.76032900059295,4
102,-279.76032900059295,4
103,-84.31508458632646,7
104,-289.76032900059295,4
105,-269.76032900059295,4
106,-153.1306403446053,6
107,-262.26032900059295,4
108,-238.34526422799524,5
109,-304.76032900059295,4
110,-284.76032900059295,4
111,-238.34526422799524,5
112,-130.6306403446053,6
113,-299.76032900059295,4
114,-269.76032900059295,4
115,-1.8150845863264635,7
116,-165.6306403446053,6
117,-294.76032900059295,4
118,-220.84526422799524,5
119,-284.76032900059295,4
120,-284.76032900059295,4
121,-284.76032900059295,4
122,-125.6306403446053,6
123,51.07892282698299,9
124,-277.26032900059295,4
125,-205.84526422799524,5
126,-274.76032900059295,4
127,-165.6306403446053,6
128,-269.76032900059295,4
129,-279.76032900059295,4
130,-210.84526422799524,5
131,-215.84526422799524,5
132,-359.5815238949143,3
133,-339.5815238949143,3
134,-249.76032900059295,4
135,-294.76032900059295,4
136,-274.76032900059295,4
137,-135.6306403446053,6
138,-274.76032900059295,4
139,-233.34526422799524,5
140,-274.76032900059295,4
141,-292.26032900059295,4
142,-289.76032900059295,4
143,-220.84526422799524,5
144,-262.26032900059295,4
145,-31.815084586326464,7
146,-349.5815238949143,3
147,-354.5815238949143,3
148,-354.5815238949143,3
149,-279.76032900059295,4
150,-133.1306403446053,6
151,-210.84526422799524,5
152,-264.76032900059295,4
153,1.0789228269829891,9
154,103.57892282698299,9
155,-294.76032900059295,4
156,-422.3226537463707,2
157,-274.76032900059295,4
158,149.53988836557755,11
159,-284.76032900059295,4
160,-289.76032900059295,4
161,-269.76032900059295,4
162,-259.76032900059295,4
163,-155.6306403446053,6
164,-178.1306403446053,6
165,-269.76032900059295,4
166,-349.5815238949143,3
167,313.0549435075409,13
168,-294.76032900059295,4
169,-327.0815238949143,3
170,-49.542234662033366,8
171,-210.84526422799524,5
172,-86.81508458632646,7
173,-294.76032900059295,4
174,-309.76032900059295,4
175,64.96270589708377,10
176,-274.76032900059295,4
177,139.53988836557755,11
178,-120.6306403446053,6
179,-106.81508458632646,7
180,-165.6306403446053,6
181,-287.26032900059295,4
182,-294.76032900059295,4
183,-91.81508458632646,7
184,-253.34526422799524,5
185,-160.84526422799524,5
186,-279.76032900059295,4
187,-234.76032900059295,4
188,-289.76032900059295,4
189,-195.84526422799524,5
190,-89.31508458632646,7
191,265.5549435075409,13
192,-103.1306403446053,6
193,-259.76032900059295,4
194,-195.84526422799524,5
195,-249.76032900059295,4
196,-314.76032900059295,4
197,-294.76032900059295,4
198,-249.76032900059295,4
199,2.9577653379666344,8
200,-158.1306403446053,6
