episode,reward,rail length
0,-2426.541316002372,4
1,-2423.041316002372,4
2,-2419.041316002372,4
3,-1724.5413160023718,4
4,-2421.041316002372,4
5,-2435.541316002372,4
6,-2434.041316002372,4
7,-2775.2906149854825,2
8,-2431.541316002372,4
9,-2621.8260955796572,3
10,-2434.541316002372,4
11,-1949.0413160023718,4
12,-454.26033834530585,7
13,-2432.041316002372,4
14,-2440.041316002372,4
15,-2413.041316002372,4
16,-2440.041316002372,4
17,-2436.041316002372,4
18,-2443.041316002372,4
19,-2447.541316002372,4
20,-2453.541316002372,4
21,-2463.541316002372,4
22,-2431.541316002372,4
23,-2447.541316002372,4
24,-2432.041316002372,4
25,2385.7197740301635,13
26,-2430.541316002372,4
27,-2450.541316002372,4
28,-2435.041316002372,4
29,-1972.5413160023718,4
30,-2460.041316002372,4
31,-2449.041316002372,4
32,-2450.541316002372,4
33,-2620.3260955796572,3
34,1982.1595534623102,11
35,-2442.541316002372,4
36,-1392.0225613784212,6
37,-1174.5225613784214,6
38,-2454.541316002372,4
39,-2446.041316002372,4
40,-2616.3260955796572,3
41,-2455.041316002372,4
42,-1790.381056911981,5
43,-1133.0225613784214,6
44,-2456.541316002372,4
45,-2451.041316002372,4
46,-1017.0413160023718,4
47,-1671.3260955796572,3
48,-1135.5225613784214,6
49,-2445.541316002372,4
50,-511.26033834530585,7
51,-2441.541316002372,4
52,-2633.3260955796572,3
53,-747.2603383453059,7
54,-1114.381056911981,5
55,1043.350823588335,10
56,-2459.041316002372,4
57,-1984.5413160023718,4
58,379.31569130793196,9
59,-2436.541316002372,4
60,1798.3508235883348,10
61,-2224.041316002372,4
62,-1672.3260955796572,3
63,-694.0225613784213,6
64,167.33106135186654,8
65,-2460.541316002372,4
66,-1193.3260955796572,3
67,-2646.8260955796572,3
68,-784.6689386481335,8
69,-2212.041316002372,4
70,1492.3508235883348,10
71,-2465.041316002372,4
72,-2061.881056911981,5
73,-2461.041316002372,4
74,-2461.041316002372,4
75,-2452.541316002372,4
76,1132.8310613518665,8
77,-1799.381056911981,5
78,-2152.3260955796572,3
79,870.8310613518665,8
80,-2445.541316002372,4
81,-443.0225613784212,6
82,-988.2603383453059,7
83,-2450.541316002372,4
84,126.81569130793196,9
85,-2443.541316002372,4
