episode,reward,rail length,game win
0,-1037.5815238949144,3,False
1,-937.3452642279952,5,False
2,-589.9601116344224,11,False
3,-671.0422346620334,8,False
4,-920.760329000593,4,False
5,-912.260329000593,4,False
6,-951.760329000593,4,False
7,-959.760329000593,4,False
8,-980.260329000593,4,False
9,-921.760329000593,4,False
10,-960.760329000593,4,False
11,-898.260329000593,4,False
12,-936.6306403446054,6,False
13,-833.8150845863265,7,False
14,-806.0422346620334,8,False
15,-992.5815238949144,3,False
16,-927.6306403446054,6,False
17,-762.8150845863265,7,False
18,-884.3452642279952,5,False
19,-933.760329000593,4,False
20,-930.8452642279952,5,False
21,-949.760329000593,4,False
22,-892.760329000593,4,False
23,-935.260329000593,4,False
24,-666.421077173017,9,False
25,-978.760329000593,4,False
26,-1155.8226537463706,2,False
27,-909.260329000593,4,False
28,-944.260329000593,4,False
29,-1034.0815238949144,3,False
30,-827.8150845863265,7,False
31,-797.6306403446054,6,False
32,-984.260329000593,4,False
33,-1032.5815238949144,3,False
34,-1010.5815238949144,3,False
35,-927.260329000593,4,False
36,-1148.8226537463706,2,False
37,-1045.5815238949144,3,False
38,-964.760329000593,4,False
39,-653.0422346620334,8,False
40,-893.760329000593,4,False
41,-904.3452642279952,5,False
42,-644.0422346620334,8,False
43,-991.760329000593,4,False
44,-1030.260329000593,4,False
45,-930.260329000593,4,False
46,-821.3150845863265,7,False
47,-978.3452642279954,5,False
48,-854.1306403446054,6,False
49,-1064.0815238949144,3,False
50,-812.8452642279952,5,False
51,-945.260329000593,4,False
52,-931.260329000593,4,False
53,-772.8150845863265,7,False
54,-947.260329000593,4,False
55,-904.760329000593,4,False
56,-899.260329000593,4,False
57,-919.3150845863265,7,False
58,-905.260329000593,4,False
59,-914.760329000593,4,False
60,-927.760329000593,4,False
61,-960.760329000593,4,False
62,-965.760329000593,4,False
63,-883.8452642279952,5,False
64,-977.0815238949144,3,False
65,-861.760329000593,4,False
66,-860.760329000593,4,False
67,-914.760329000593,4,False
68,-997.760329000593,4,False
69,-812.3150845863265,7,False
70,-946.260329000593,4,False
71,-845.6306403446054,6,False
72,-896.760329000593,4,False
73,-963.760329000593,4,False
74,-784.6306403446054,6,False
75,-921.760329000593,4,False
76,-840.8150845863265,7,False
77,-653.5422346620334,8,False
78,-923.260329000593,4,False
79,-1006.260329000593,4,False
80,-879.260329000593,4,False
81,-904.260329000593,4,False
82,-719.8150845863265,7,False
83,-885.8452642279952,5,False
84,-739.5422346620334,8,False
85,-761.8150845863265,7,False
86,-967.260329000593,4,False
87,-958.260329000593,4,False
88,-948.760329000593,4,False
89,-934.260329000593,4,False
90,-958.5815238949143,3,False
91,-916.760329000593,4,False
92,-950.760329000593,4,False
93,-964.260329000593,4,False
94,-926.760329000593,4,False
95,-693.5422346620334,8,False
96,-917.760329000593,4,False
97,-918.760329000593,4,False
98,-833.3452642279952,5,False
99,-757.1306403446054,6,False
100,-997.260329000593,4,False
101,-883.260329000593,4,False
102,-862.260329000593,4,False
103,-772.1306403446054,6,False
104,-942.260329000593,4,False
105,-932.760329000593,4,False
106,-668.8150845863265,7,False
107,-840.260329000593,4,False
108,-936.260329000593,4,False
109,-939.260329000593,4,False
110,-913.260329000593,4,False
111,-904.760329000593,4,False
112,-927.260329000593,4,False
113,-913.760329000593,4,False
114,-691.0422346620334,8,False
115,-818.6306403446054,6,False
116,-642.921077173017,9,False
117,-1022.760329000593,4,False
118,-905.260329000593,4,False
119,-910.260329000593,4,False
120,-907.260329000593,4,False
121,-860.260329000593,4,False
122,-872.260329000593,4,False
123,-818.6306403446054,6,False
124,-942.760329000593,4,False
125,-893.760329000593,4,False
126,-826.760329000593,4,False
127,-866.260329000593,4,False
128,-890.760329000593,4,False
