episode,reward,rail length
154,-373.26032900059295,4
155,-375.26032900059295,4
156,-376.76032900059295,4
157,-384.26032900059295,4
158,-368.26032900059295,4
159,-382.76032900059295,4
160,-372.76032900059295,4
161,-326.84526422799524,5
162,-429.5815238949143,3
163,-62.537294102916235,10
164,-369.26032900059295,4
165,103.05494350754088,13
166,-55.537294102916235,10
167,-363.76032900059295,4
168,-365.76032900059295,4
169,-375.26032900059295,4
170,-383.26032900059295,4
171,-268.1306403446053,6
172,-375.26032900059295,4
173,-378.76032900059295,4
174,-373.76032900059295,4
175,-385.26032900059295,4
176,-376.76032900059295,4
177,-382.76032900059295,4
178,-377.26032900059295,4
179,-379.76032900059295,4
180,-384.26032900059295,4
181,-167.04223466203337,8
182,-285.1306403446053,6
183,-229.81508458632646,7
184,-430.0815238949143,3
185,-369.26032900059295,4
186,-176.54223466203337,8
187,-328.84526422799524,5
188,-379.76032900059295,4
189,-377.26032900059295,4
190,-277.1306403446053,6
191,-365.26032900059295,4
192,-223.81508458632646,7
193,-377.76032900059295,4
194,-375.26032900059295,4
195,-389.76032900059295,4
196,-382.76032900059295,4
197,-385.76032900059295,4
198,-221.31508458632646,7
199,-373.76032900059295,4
200,-319.84526422799524,5
201,-364.76032900059295,4
202,-383.76032900059295,4
203,-374.76032900059295,4
204,-383.76032900059295,4
205,-228.81508458632646,7
206,-322.34526422799524,5
207,-378.76032900059295,4
208,-373.76032900059295,4
209,-342.84526422799524,5
210,-331.84526422799524,5
211,-231.31508458632646,7
212,-382.76032900059295,4
213,-422.5815238949143,3
214,-433.0815238949143,3
215,-381.26032900059295,4
216,-364.76032900059295,4
217,-368.26032900059295,4
218,-226.81508458632646,7
219,-381.26032900059295,4
220,57.753312392089356,12
221,-385.76032900059295,4
222,-377.26032900059295,4
223,-274.6306403446053,6
224,-271.6306403446053,6
225,-171.04223466203337,8
226,-379.76032900059295,4
227,-376.26032900059295,4
228,-330.34526422799524,5
229,66.75331239208936,12
230,-373.76032900059295,4
231,-383.26032900059295,4
232,-326.84526422799524,5
233,-282.6306403446053,6
234,-376.76032900059295,4
235,-329.84526422799524,5
236,-381.26032900059295,4
237,-369.76032900059295,4
238,-329.34526422799524,5
239,-380.26032900059295,4
240,-368.76032900059295,4
241,-337.34526422799524,5
242,-225.81508458632646,7
243,-371.76032900059295,4
244,-373.76032900059295,4
245,-319.34526422799524,5
