episode,reward,rail length,game win
209,2604.815691307932,9,False
210,-663.5413160023719,4,False
211,-47.88105691198098,5,False
212,-343.5413160023719,4,False
213,1853.239661654694,7,False
214,757.9774386215788,6,False
215,4038.65955346231,11,False
216,512.9774386215788,6,False
217,-738.5413160023719,4,False
218,322.118943088019,5,False
219,982.9774386215788,6,False
220,-643.5413160023719,4,False
221,-232.88105691198098,5,False
222,-653.5413160023719,4,False
223,937.9774386215787,6,False
224,3575.3508235883346,10,False
225,107.97743862157881,6,False
226,-743.5413160023718,4,False
227,1048.239661654694,7,False
228,3189.815691307932,9,False
229,917.9774386215788,6,False
230,538.2396616546941,7,False
231,942.9774386215787,6,False
232,-613.5413160023719,4,False
233,232.11894308801902,5,False
234,642.9774386215788,6,False
235,1662.3310613518665,8,False
236,617.9774386215787,6,False
237,1317.3310613518665,8,False
238,-598.5413160023719,4,False
239,-768.5413160023719,4,False
240,47.11894308801902,5,False
241,2287.3310613518665,8,False
242,1137.9774386215786,6,False
243,728.2396616546941,7,False
244,502.9774386215788,6,False
245,-1052.0225613784214,6,False
246,1994.815691307932,9,False
247,492.118943088019,5,False
248,-367.881056911981,5,False
249,-513.5413160023719,4,False
250,-808.5413160023718,4,False
251,938.2396616546941,7,False
252,-683.5413160023719,4,False
253,2332.3310613518665,8,False
254,787.9774386215788,6,False
255,-92.88105691198098,5,False
256,-448.5413160023719,4,False
257,2012.3310613518665,8,False
258,312.118943088019,5,False
259,1303.239661654694,7,False
260,1542.3310613518665,8,False
261,-683.5413160023719,4,False
262,862.9774386215788,6,False
263,607.9774386215788,6,False
264,1479.815691307932,9,False
265,-708.5413160023719,4,False
266,107.11894308801902,5,False
267,-608.5413160023719,4,False
268,1278.239661654694,7,False
269,-693.5413160023719,4,False
270,1722.3310613518665,8,False
271,-658.5413160023719,4,False
272,-643.5413160023719,4,False
273,2192.331061351866,8,False
274,807.9774386215788,6,False
275,1047.9774386215786,6,False
276,1992.3310613518665,8,False
277,1995.350823588335,10,False
278,2709.815691307932,9,False
279,-663.5413160023719,4,False
280,382.118943088019,5,False
281,-137.0225613784212,6,False
282,-603.5413160023719,4,False
283,797.9774386215788,6,False
284,-583.5413160023719,4,False
285,3350.3508235883346,10,False
286,-453.5413160023719,4,False
287,3015.3508235883346,10,False
288,-738.5413160023719,4,False
289,-588.5413160023719,4,False
290,1792.3310613518665,8,False
291,-678.5413160023719,4,False
292,-743.5413160023719,4,False
293,2404.815691307932,9,False
294,3705.3508235883346,10,False
295,-753.5413160023719,4,False
296,-653.5413160023719,4,False
297,1013.2396616546941,7,False
298,942.9774386215787,6,False
299,1822.3310613518665,8,False
300,-957.881056911981,5,False
301,737.9774386215788,6,False
302,-528.5413160023719,4,False
303,3638.65955346231,11,False
304,-648.5413160023719,4,False
305,1387.3310613518665,8,False
306,1002.9774386215787,6,False
307,-728.5413160023719,4,False
308,-653.5413160023719,4,False
309,-763.5413160023719,4,False
310,-513.5413160023719,4,False
311,-738.5413160023719,4,False
312,2509.815691307932,9,False
313,1669.815691307932,9,False
314,4114.513249568357,12,False
315,747.9774386215788,6,False
316,3745.3508235883346,10,False
317,988.239661654694,7,False
318,2923.65955346231,11,False
319,992.9774386215787,6,False
320,942.9774386215787,6,False
321,1497.3310613518665,8,False
322,-748.5413160023719,4,False
323,1577.3310613518665,8,False
324,1157.3310613518665,8,False
325,-548.5413160023719,4,False
326,972.9774386215788,6,False
327,-618.5413160023719,4,False
328,57.11894308801902,5,False
329,3625.3508235883346,10,False
330,1452.3310613518665,8,False
331,1362.3310613518665,8,False
332,1902.3310613518665,8,False
333,442.9774386215788,6,False
334,2189.815691307932,9,False
335,-613.5413160023719,4,False
336,657.9774386215788,6,False
337,1927.3310613518665,8,False
338,3525.350823588335,10,False
339,3024.815691307932,9,False
340,1547.3310613518665,8,False
341,-773.5413160023719,4,False
342,483.23966165469415,7,False
343,-7.881056911980977,5,False
344,-46.760338345305854,7,False
345,2329.815691307932,9,False
346,-748.5413160023719,4,False
347,-1272.881056911981,5,False
348,2889.815691307932,9,False
349,-528.5413160023719,4,False
350,1517.3310613518665,8,False
351,3655.3508235883346,10,False
352,1472.3310613518665,8,False
353,1974.815691307932,9,False
354,1622.3310613518665,8,False
355,-628.5413160023719,4,False
356,-683.5413160023718,4,False
357,1212.9774386215788,6,False
358,-588.5413160023719,4,False
359,2252.3310613518665,8,False
360,1639.815691307932,9,False
361,-1952.8260955796572,3,False
362,-783.5413160023719,4,False
363,-413.5413160023719,4,False
364,812.9774386215788,6,False
365,-743.5413160023719,4,False
366,2770.350823588335,10,False
367,1487.3310613518665,8,False
368,52.11894308801902,5,False
369,1253.239661654694,7,False
370,1847.3310613518665,8,False
371,-728.5413160023719,4,False
372,322.9774386215788,6,False
373,-753.5413160023719,4,False
374,202.9774386215788,6,False
375,357.9774386215788,6,False
376,1634.815691307932,9,False
377,3595.3508235883346,10,False
378,-47.02256137842119,6,False
379,2127.3310613518665,8,False
380,-588.5413160023719,4,False
381,572.9774386215788,6,False
382,197.11894308801902,5,False
383,232.11894308801902,5,False
384,1168.239661654694,7,False
385,-673.5413160023718,4,False
386,4049.5132495683574,12,False
387,-813.5413160023718,4,False
388,3150.3508235883346,10,False
389,1542.3310613518665,8,False
390,1717.3310613518665,8,False
391,13272.5,11,True
392,797.9774386215788,6,False
393,1387.3310613518665,8,False
394,992.9774386215788,6,False
395,-302.881056911981,5,False
396,1202.9774386215788,6,False
397,2829.815691307932,9,False
398,-688.5413160023719,4,False
399,32.11894308801902,5,False
400,4704.513249568357,12,False
401,-628.5413160023719,4,False
402,712.9774386215788,6,False
403,-688.5413160023719,4,False
404,2434.815691307932,9,False
405,-663.5413160023719,4,False
406,577.9774386215788,6,False
407,2499.815691307932,9,False
408,1217.3310613518665,8,False
409,2174.815691307932,9,False
410,1707.3310613518665,8,False
411,1892.3310613518665,8,False
412,657.9774386215788,6,False
413,-603.5413160023719,4,False
414,2374.815691307932,9,False
415,-1912.8260955796572,3,False
416,1507.3310613518665,8,False
417,-713.5413160023719,4,False
418,772.9774386215788,6,False
419,787.9774386215788,6,False
420,2457.331061351866,8,False
421,1498.239661654694,7,False
422,257.9774386215788,6,False
423,2310.350823588335,10,False
424,1337.3310613518665,8,False
425,592.9774386215788,6,False
426,1428.239661654694,7,False
427,2137.3310613518665,8,False
428,2334.815691307932,9,False
429,2769.815691307932,9,False
430,2302.3310613518665,8,False
431,-527.881056911981,5,False
432,-648.5413160023719,4,False
433,918.239661654694,7,False
434,627.9774386215788,6,False
435,1678.239661654694,7,False
436,2537.331061351866,8,False
437,-658.5413160023719,4,False
438,772.9774386215787,6,False
439,407.9774386215788,6,False
440,2269.815691307932,9,False
441,-698.5413160023719,4,False
442,-538.5413160023719,4,False
443,2515.3508235883346,10,False
444,757.9774386215787,6,False
445,-748.5413160023719,4,False
446,-743.5413160023719,4,False
447,2332.3310613518665,8,False
448,262.9774386215788,6,False
449,2039.815691307932,9,False
450,1642.3310613518665,8,False
451,1443.2396616546941,7,False
452,-953.5413160023718,4,False
453,1564.815691307932,9,False
454,-733.5413160023719,4,False
455,2112.331061351866,8,False
456,-763.5413160023719,4,False
457,1967.3310613518665,8,False
458,-628.5413160023719,4,False
459,1303.2396616546941,7,False
460,3490.3508235883346,10,False
461,1762.3310613518665,8,False
462,1792.3310613518665,8,False
463,727.9774386215788,6,False
464,-753.5413160023719,4,False
